country ,Year,Fossil and land use share
World,1940,0.32
World,1941,0.33
World,1942,0.36
World,1943,0.39
World,1944,0.41
World,1945,0.49
World,1946,0.51
World,1947,0.52
World,1948,0.56
World,1949,0.62
World,1950,0.58
World,1951,0.6
World,1952,0.64
World,1953,0.68
World,1954,0.71
World,1955,0.72
World,1956,0.74
World,1957,0.78
World,1958,0.82
World,1959,0.84
World,1960,0.93
World,1961,1.04
World,1962,1.15
World,1963,1.19
World,1964,1.22
World,1965,1.3
World,1966,1.38
World,1967,1.58
World,1968,1.72
World,1969,1.75
World,1970,1.64
World,1971,1.66
World,1972,1.68
World,1973,1.69
World,1974,1.65
World,1975,1.64
World,1976,1.58
World,1977,1.63
World,1978,1.66
World,1979,1.69
World,1980,1.7
World,1981,1.69
World,1982,1.72
World,1983,1.71
World,1984,1.72
World,1985,1.76
World,1986,1.82
World,1987,1.87
World,1988,1.92
World,1989,1.96
World,1990,1.93
World,1991,1.88
World,1992,1.91
World,1993,1.9
World,1994,1.94
World,1995,1.95
World,1996,1.98
World,1997,1.94
World,1998,2.07
World,1999,2.11
World,2000,2.17
World,2001,2.15
World,2002,2.12
World,2003,1.97
World,2004,2.06
World,2005,2.12
World,2006,2.06
World,2007,2.11
World,2008,2.04
World,2009,1.93
World,2010,1.95
World,2011,1.94
World,2012,1.94
World,2013,2
World,2014,2.04
World,2015,2.12
World,2016,2.27
World,2017,2.39
World,2018,2.46
World,2019,2.47
World,2020,1.55
World,2021,1.77
